TXNID,STARTTIME,ENDTIME,,,,STARTTIME,ENDTIME,SERVICE_NAME,,,,,
FCMGST01,23-07-20 04:51:40:270,23-07-20 04:51:40:659,,,,23-07-20 04:51:34:810,23-07-20 04:51:35:057,PartyApplicationServiceSpi,DxEwNKwVDkYBLAD6ylgAAAAK,,,,
LGNXT,23-07-20 04:51:33:844,23-07-20 04:51:35:193,,,,23-07-20 04:51:34:206,23-07-20 04:51:34:760,ValidatePINApplicationServiceSpiService,DxEwNKwVDkYBLAD6ylgAAAAK,,,,
VLC01,23-07-20 04:51:30:467,23-07-20 04:51:33:629,,,,23-07-20 04:51:33:991,23-07-20 04:51:34:177,GetUserReportApplicationServiceSpi,DxEwNKwVDkYBLAD6ylgAAAAK,,,,
PLGSTN,23-07-20 04:51:28:107,23-07-20 04:51:28:382,,,,23-07-20 04:51:33:559,23-07-20 04:51:33:594,SiteToUser,Dt2neKwVDkYBLAD6ylQAAAAK,,,,
GSTN,23-07-20 04:50:52:428,23-07-20 04:50:52:774,,,,23-07-20 04:51:30:730,23-07-20 04:51:33:544,AdaptiveAuthenticationService,Dt2neKwVDkYBLAD6ylQAAAAK,,,,
,,,,,,23-07-20 04:51:28:190,23-07-20 04:51:28:352,MerchantDetailsApplicationServiceSpiService,Drmdd6wVDkYBLAD6ylAAAAAK,,,,
NSDL,Enstage,,,,,,,,,,,,
,,,,,,,,,,,,,
LGF,23-07-20 04:48:43:379,23-07-20 04:48:43:573,,,,23-07-20 04:48:42:896,23-07-20 04:48:43:143,FundTransferTransactionApplicationServiceSpi,BNzkdawVDkYAkgCeYRMAAACJ,,,,
XTXFT08,23-07-20 04:48:42:673,23-07-20 04:48:43:204,,,,23-07-20 04:48:37:654,23-07-20 04:48:37:801,SMSService,BIxaw6wVDkYAkgCeYMkAAACQ,,,,
XTXFT08,23-07-20 04:48:37:395,23-07-20 04:48:37:816,,,,23-07-20 04:48:26:841,23-07-20 04:48:27:057,FetchCustomerAndMerchantDetailsApplicationServiceSpiService,A@of06wVDkYAkgCeYL0AAACQ,,,,
FCMCBDT01,23-07-20 04:48:26:740,23-07-20 04:48:27:109,,,,23-07-20 04:48:21:643,23-07-20 04:48:21:891,PartyApplicationServiceSpi,A5SM9qwVDkYAkgCeYJ0AAACE,,,,
LGNXT,23-07-20 04:48:21:128,23-07-20 04:48:21:962,,,,23-07-20 04:48:21:459,23-07-20 04:48:21:582,ValidatePINApplicationServiceSpiService,A5SM9qwVDkYAkgCeYJ0AAACE,,,,
